name,address,place_id,formatted_address,place_types,location,cuisines,rating,rating_count,cost_for_two,source
Pind Da Paratha,"Pind Da Paratha  , Sy No. 545/15, Opp ICICI Bank, Hosur Main Road, Bommanahalli, popular Colony, Mangammanapalya,, Bangalore South, Bangalore Urban, , Karnataka, 560068",ChIJm0BS3CgTrjsRCJRyc4TC7jo,"Haralur Main Rd, opposite Narayana Olympiad School, HSR Extension, Lakedew Residency, HSR Layout, Bengaluru, Haralur, Karnataka 560102, India","['indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"North Indian,Desserts",4.3,50.0,250.0,Swiggy
Andhra Gunpowder,"Andhra Gunpowder, No, 13/A, 1st Floor,18th Main, Sector 3, HSR Layout, BBMP South, Bangalore 560102",ChIJBaf8ZnEVrjsR7JLZCEQrslA,"14/22, N.S Palya, 5th Main Rd, Industrial Area, Stage 2, BTM Layout, Bengaluru, Karnataka 560076, India","['meal_delivery', 'food_delivery', 'indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"Andhra,Biryani",4.1,500.0,350.0,Swiggy
The Thick Shake Factory,"The Thick Shake Factory, Basement Level, 87, 14th Main Road, 4th Sector, Opp. BDA Complex, HSR Layout, Bangalore-560102",ChIJX_V3xvQWrjsRPzpovA05Gtg,"24, St Johns Church Rd, Bharati Nagar, Shivaji Nagar, Bengaluru, Karnataka 560001, India","['restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"Ice Cream,Beverages",4.5,100.0,200.0,Swiggy
Prowl Foods By Tiger Shroff,"Prowl Foods By Tiger Shroff, Basement Level, 87, 14th Main Road, 4th Sector, Opp. BDA Complex, HSR Layout, Bangalore-560102",ChIJZePt0nYVrjsRYPs31f6dd-k,"87, 14th Main Rd, opp. BDA Complex, 4th Sector, HSR Layout, Bengaluru, Karnataka 560102, India","['restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"North Indian,Continental",4.0,50.0,500.0,Swiggy
Gurus Tiffin,"Gurus Tiffin, #1152, 22nd Cross, 22nd B Main Rd, Garden Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India",ChIJCx1L3U0VrjsRVMMZjuw8Urw,"#1152, 22nd Cross, 22nd B Main Rd, Garden Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India","['indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"Snacks,South Indian",4.1,20.0,100.0,Swiggy
Smoodies & Juices: Yours Fruitfully,"Smoodies & Juices: Yours Fruitfully, 659, 22nd Cross Rd, Parangi Palaya, Sector 2, HSR Layout, Bengaluru 560102",ChIJN84Lp5QVrjsRvZ2KqwH8AqE,"1704, V2Services, 19th Main, 25th Cross Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India","['ice_cream_shop', 'dessert_shop', 'confectionery', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",HSR,"Snacks,Healthy Food",4.1,50.0,140.0,Swiggy
Marwar's,"Marwar's, NO.13/A,18TH MAIN SECTOR 3,HSR LAYOUT BANGALORE,B.B.M.P,SOUTH KARNATAKA 560102",ChIJUVBrAZcVrjsRXwtA_EbVOTU,"Reg Office:, 212/A, Paramahansa Yogananda Rd, Stage 2, Domlur, Bengaluru, Karnataka 560071, India","['meal_delivery', 'food_delivery', 'food', 'point_of_interest', 'establishment']",HSR,North Indian,3.8,50.0,150.0,Swiggy
Ghee and Turmeric,"Ghee and Turmeric, 27th Main Rd, PWD Quarters, 1st Sector, HSR Layout, Bangalore 560034",ChIJ7c49BHYTrjsR28rt6ar7OFw,"Unit 001, Bellandur, Bengaluru, Karnataka 560103, India","['point_of_interest', 'establishment']",HSR,"North Indian,Tandoor",3.9,50.0,500.0,Swiggy
Punjabi Nawabi,"Punjabi Nawabi, Harlur Main Rd, Lakedew Residency- Phase 2, Harlur, Bengaluru, Karnataka 560068",ChIJdY0wsl4TrjsRG_oPlVc7vfs,"phase 2, 24/2, Haralur Main Rd, opposite Indian Oil Petrol Pump, Royal Placid Layout, Lakedew Residency, HSR Layout, Bengaluru, Haralur, Karnataka 560102, India","['indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"Punjabi,North Indian",4.0,1000.0,400.0,Swiggy
KFC,"KFC, KFC- HSR Layout, Shop# 30, 14th Main, Opp BDA Shopping Complex, Bangalore - 560034",ChIJWyDS8YcVrjsR3yjbo8UM42E,"Ground & 1st Floor, Plot No 30, 14th Main Rd, opposite BDA Complex, Sector 4, HSR Layout, Bengaluru, Karnataka 560094, India","['restaurant', 'meal_takeaway', 'fast_food_restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"American,Snacks",4.1,500.0,400.0,Swiggy
Rolls & Bowls Company,"Rolls & Bowls Company, No- 1/120, 14th Main Road, 5th Sector, HSR Layout, Bangalore, B.B.M.PSouth,560102",ChIJ4dzOjY4UrjsRUVO32fx7eus,"1/120, 14th Main Rd, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034, India","['restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"North Indian,Chinese",3.8,20.0,250.0,Swiggy
Arogya Ahaara,"Arogya Ahaara, 108, 4th Cross, 13th Main, Jakkasandra, 5th Sector, HSR, Bangalore",ChIJQ1LGrY4UrjsRmBJv1vfmIBo,"13th Main Road, 108, 4th Cross Rd, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034, India","['indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"South Indian,North Indian",4.2,100.0,300.0,Swiggy
