name,address,location,cuisines,rating,rating_count,cost_for_two,source
Paratha Lounge,"Paratha Lounge, No 7, 69/67 (33/3) First Floor, 1st Main Rd, above Amma's Pastries, next to Bust Stop, Kothanur Post, Narayanapura, Bengaluru, Karnataka 560077, India",Geddalahalli,Indian,4.5,20.0,200.0,Swiggy
Nandhana Palace,"Nandhana Palace, KGS Arcade  Khatha No 328 1  228 227 13 14  BBMP Sl No 1  13   14 Ward No 54  Byrathi Kothanur  Hennur Main Road  Bangalore   560 077",Geddalahalli,Andhra,4.2,500.0,500.0,Swiggy
PAANOOR RESTAURANT & CAFE,"PAANOOR RESTAURANT & CAFE, #670/1, HMN Complex, Opp Kristu Jayanthi College, K Narayanapura, (Next to Sri Ram Medicals) Bangalore- 560077",Geddalahalli,"Indian,Chinese",3.8,20.0,250.0,Swiggy
Sri Devi Vaibhav,"Sri Devi Vaibhav, NO 74/13 74/18 THANISANDRA DR SHIVARAM KARANTH NAGAR POST BANGALORE, B.B.M.P (NORTH) KARNATAKA 560077, INDIA",Geddalahalli,"South Indian,North Indian",4.2,20.0,200.0,Swiggy
19 Galli Foods,"19 Galli Foods, #19 Galli Foods, GROUND FLOOR, 30, CMR COMPLEX, VENKATADRI LAYOUT, HEGADENAGAR MAIN ROAD, JAKKUR POST, , Bengaluru (Bangalore) Urban, Karnataka, 560064",Geddalahalli,"South Indian,Chinese",4.3,50.0,150.0,Swiggy
KFC,"KFC, 08, Khata No 2578, 80 Feet Road,MCH Layout, Dr SRK Nagar",Geddalahalli,"American,Snacks",3.9,20.0,400.0,Swiggy
New Krishna Sagar Fast Food,"New Krishna Sagar Fast Food, MCECHS Layout, Sri Balaji Krupa Layout, RK Hegde Nagar, Bengaluru, Karnataka 560077",Geddalahalli,"Chinese,South Indian",4.1,500.0,500.0,Swiggy
BOX8 - Desi Meals,"BOX8 - Desi Meals, No. 509 , RK Hegde Nagar, SR. K. Post, Police Quarters, Thanisandra main road, RK hegde nagar",Geddalahalli,"North Indian,Biryani",3.9,100.0,250.0,Swiggy
Chikpet Donne Biriyani House,"Chikpet Donne Biriyani House, NO 196, FIRST FLOOR, L N COMPLEX, BYRATHI CROSS, NEAR BUS STOP, DR. S R K NAGAR POST, HENNUR- BAGALUR MAIN ROAD, BANGALORE, Karnataka-560077",Geddalahalli,Biryani,3.9,100.0,300.0,Swiggy
Five Star Chicken,"Five Star Chicken, Five Star Chicken ,Idhaya Complex bearing Shop, # 10, Geddalahalli Village, Kottanur (p), Hennur Main Road, Bangalore",Geddalahalli,Fast Food,4.4,20.0,300.0,Swiggy
Anand Sweets and Savouries,"Anand Sweets and Savouries, No 36/7,1st Floor, L G Arcade, Geddalahalli Village, Hennur-Bagalur Main Road, Bangalore 560077 (Next to Brigade Hyper market)",Geddalahalli,"Sweets,North Indian",4.4,100.0,150.0,Swiggy
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Frozen Bottle - Milkshakes, Desserts And Ice Cream, No.81, INDRAPRASTHA, Gubbi Cross, Kothanur Post, Hennur Bagalur Road, Bangalore, Bengaluru (Bangalore) Urban, Karnataka, 560077",Geddalahalli,"Beverages,Desserts",4.3,50.0,250.0,Swiggy
The Yellow Tree,"The Yellow Tree, No. 1, Premier Park, Doddagubbi Main Rd, Hanumanthappa Layout, Kyalasanahalli, Bengaluru, Karnataka 560077",Geddalahalli,"Continental,Desserts",4.1,20.0,700.0,Swiggy
K C Das Thanisandra,"K C Das Thanisandra, Shop No6, Ground Floor, Building C/O Narayanappa(Chokappa) Near Railway Bridge Dr.SRK Nagar, Thanisandra Main Road, Bengaluru , Dasarahalli , B.B.M.P North",Geddalahalli,"Indian,Sweets",3.9,100.0,150.0,Swiggy
Udupi Sannidhi Grand,"Udupi Sannidhi Grand, ""Kaveri Buiding No. 9 Hennur Cross Kalayan Nagar Post Bangalore 560043",Geddalahalli,South Indian,3.9,500.0,200.0,Swiggy
PANDIT CHAT HOUSE,"PANDIT CHAT HOUSE, NO 542, 9TH CROSS MECHS LAYOUT DR.SHIVRAM KARANTH NAGAR, BANGALORE",Geddalahalli,"Indian,Snacks",3.4,50.0,200.0,Swiggy
Sundae Everyday Ice Creams,"Sundae Everyday Ice Creams, #20, Ground Floor, Patel Rayappa Layout,Byrathi Cross Road, Hennur Main Road, Dr.SRKNagar, Bangalore, B.B.M.P North,Karnataka-560077",Geddalahalli,"Ice Cream,Desserts",4.1,20.0,150.0,Swiggy
My Little China,"My Little China, Near Shilpa bakery, Horamavu Agara Main Rd, Horamavu Agara, Horamavu, Bengaluru, Karnataka 560043",Geddalahalli,"Chinese,North Indian",3.8,20.0,250.0,Swiggy
Polar Bear,"Polar Bear, 28/2/2, ground floor, Sri Hanuman nilaya, k. Narayanpura Road, Kothanur Post, Kothanur, Bangalore 560077",Geddalahalli,"Ice Cream,Desserts",4.4,100.0,250.0,Swiggy
Zomoz - The Momo Company,"Zomoz - The Momo Company, No 36/7,1st Floor, L G Arcade, Geddalahalli Village, Hennur-Bagalur Main Road, Bangalore 560077 (Next to Brigade Hyper market)",Geddalahalli,"Tibetan,Chinese",4.3,50.0,250.0,Swiggy
K Fashion Cafe,"K Fashion Cafe, Hormavu Agara Main Road, 2nd Cross Rd, Sri Layout, vadarpalya, Hennur Gardens, Bengaluru, Karnataka 560043",Geddalahalli,Korean,3.4,20.0,400.0,Swiggy
MALLIKA DONNE BIRIYANI,"MALLIKA DONNE BIRIYANI, 33/3 ANJINAPPA COMPLEX, KOTHANUR, BANGALORE 560077",Geddalahalli,Indian,3.7,50.0,350.0,Swiggy
Udupi vaibhav,"Udupi vaibhav, NO 50/8B GUBBY CROSS BANGALORE KOTHANPUR VILLAGE BANGALORE KR PURAM",Geddalahalli,Indian,4.3,1000.0,180.0,Swiggy
Indiana Burgers,"Indiana Burgers, #20, Ground Floor, Patel Rayappa Layout,Byrathi Cross Road, Hennur Main Road, Dr.SRKNagar, Bangalore, B.B.M.P North,Karnataka-560077",Geddalahalli,"American,Desserts",4.3,20.0,150.0,Swiggy
Madras Meal Company,"Madras Meal Company, KHATA NO.102/1-102-5, ADDRESS:102/5, HENNUR-BAGALUR MAIN ROAD, BYRATI, BANGALORE., Hebbala , B.B.M.P North, Karnataka-560077",Geddalahalli,"South Indian,Chettinad",4.2,50.0,250.0,Swiggy
Kouzina Kafe - The Food Court,"Kouzina Kafe - The Food Court, #20, Ground Floor, Patel Rayappa Layout,Byrathi Cross Road, Hennur Main Road, Dr.SRKNagar, Bangalore, B.B.M.P North,Karnataka-560077",Geddalahalli,"Desserts,Beverages",4.0,20.0,150.0,Swiggy
WarmOven Cakes & Desserts,"WarmOven Cakes & Desserts, #20, Ground Floor, Patel Rayappa Layout,Byrathi Cross Road, Hennur Main Road, Dr.SRKNagar, Bangalore, B.B.M.P North,Karnataka-560077",Geddalahalli,"Bakery,Desserts",3.9,50.0,200.0,Swiggy
